PKEY,TOKEN,0_,1_,2_,3_,4_,5_,6_,7_,8_
11060,exampl,0.98,0.99,0.97,0.98,0.94,1.00,0.95,0.97,0.96
11064,exceed,0.06,0.14,0.05,0.03,0.08,0.14,0.16,0.15,0.15
11066,except,0.19,0.14,0.13,0.71,0.03,0.17,0.09,0.09,0.14
11071,exchang,0.38,0.49,0.57,0.72,0.72,0.64,0.33,0.62,0.50
11078,encompass,0.10,0.13,0.08,0.03,0.06,0.05,0.05,0.06,0.09
11103,due,0.35,0.41,0.21,0.21,0.42,0.33,0.51,0.71,0.35
11126,dvd,0.09,0.07,0.17,0.03,0.06,0.12,0.02,0.03,0.07
11138,easili,0.34,0.37,0.21,0.03,0.22,0.38,0.19,0.18,0.22
11161,dynam,0.24,0.24,0.22,0.09,0.19,0.05,0.23,0.24,0.17
11164,earn,0.10,0.05,0.01,0.02,0.03,0.05,0.28,0.03,0.17
11171,earlier,0.08,0.02,0.01,0.57,0.06,0.17,0.09,0.03,0.09
11183,download,0.29,0.28,0.47,0.02,0.19,0.17,0.14,0.38,0.13
11227,drive,0.32,0.12,0.17,0.16,0.17,0.19,0.26,0.38,0.16
11257,draw,0.49,0.57,0.49,0.24,0.42,0.48,0.53,0.79,0.48
11278,elimin,0.22,0.24,0.14,0.03,0.14,0.31,0.19,0.65,0.15
11292,email,0.27,0.24,0.32,0.14,0.25,0.55,0.07,0.53,0.17
11306,electron,0.69,0.88,0.88,0.26,0.81,0.93,0.56,0.65,0.71
11307,element,0.49,0.65,0.64,0.28,0.44,0.69,0.49,0.74,0.44
11321,employ,0.41,0.46,0.34,0.81,0.22,0.24,0.65,0.71,0.51
11333,enabl,0.71,0.70,0.78,0.86,0.50,0.88,0.56,0.76,0.54
11351,embodi,0.93,0.94,0.92,0.98,0.81,0.98,0.93,0.94,0.93
11356,emerg,0.14,0.13,0.09,0.03,0.08,0.12,0.19,0.06,0.10
11386,edit,0.12,0.05,0.01,0.03,0.11,0.07,0.09,0.47,0.08
11416,either,0.66,0.63,0.58,0.84,0.58,0.81,0.53,0.32,0.63
11443,effect,0.44,0.36,0.36,0.79,0.33,0.31,0.65,0.76,0.44
11446,effici,0.31,0.25,0.25,0.14,0.56,0.36,0.33,0.09,0.28
11447,effort,0.14,0.16,0.09,0.10,0.14,0.21,0.14,0.12,0.08
11460,failur,0.10,0.07,0.04,0.05,0.14,0.05,0.14,0.06,0.08
11469,gener,0.96,0.98,0.97,0.98,0.94,0.90,0.98,0.97,0.95
11480,geograph,0.25,0.14,0.19,0.17,0.06,0.07,0.09,0.53,0.13
11500,gateway,0.11,0.17,0.25,0.05,0.14,0.12,0.05,0.12,0.12
11501,gather,0.17,0.17,0.05,0.76,0.03,0.12,0.28,0.12,0.08
11520,global,0.29,0.17,0.26,0.10,0.28,0.14,0.07,0.32,0.20
11535,gift,0.12,0.17,0.18,0.05,0.08,0.38,0.14,0.06,0.23
11546,given,0.52,0.53,0.32,0.34,0.22,0.50,0.60,0.18,0.44
11555,give,0.25,0.13,0.10,0.03,0.14,0.29,0.30,0.06,0.22
11559,full,0.23,0.24,0.06,0.62,0.17,0.14,0.23,0.06,0.16
11572,fulli,0.21,0.25,0.21,0.09,0.31,0.24,0.35,0.44,0.30
11575,function,0.75,0.72,0.77,0.88,0.78,0.86,0.67,0.91,0.69
11577,fund,0.28,0.43,0.71,0.26,0.69,0.95,0.84,0.53,0.73
11628,gain,0.15,0.30,0.13,0.05,0.03,0.05,0.19,0.56,0.16
11640,furthermor,0.29,0.35,0.42,0.57,0.36,0.45,0.42,0.15,0.33
11645,futur,0.34,0.34,0.34,0.16,0.11,0.36,0.67,0.15,0.38
11688,group,0.53,0.42,0.32,0.83,0.31,0.24,0.53,0.24,0.43
11722,hand,0.27,0.25,0.21,0.03,0.19,0.33,0.23,0.24,0.21
11752,googl,0.05,0.06,0.10,0.02,0.06,0.07,0.05,0.03,0.03
11764,govern,0.21,0.18,0.10,0.14,0.22,0.14,0.33,0.24,0.25
11771,good,0.40,0.58,0.57,0.64,0.28,0.57,0.26,0.59,0.46
11810,greater,0.35,0.34,0.39,0.76,0.33,0.29,0.44,0.38,0.42
11821,graphic,0.33,0.14,0.32,0.07,0.36,0.21,0.35,0.12,0.20
11847,fifth,0.06,0.07,0.06,0.07,0.03,0.02,0.07,0.03,0.04
11849,fig,0.83,0.84,0.88,0.95,0.58,0.98,0.77,0.79,0.83
11851,figur,0.29,0.30,0.47,0.03,0.17,0.45,0.33,0.12,0.27
11853,file,0.49,0.40,0.35,0.29,0.39,0.45,0.58,0.65,0.40
11859,fill,0.13,0.07,0.03,0.03,0.03,0.29,0.07,0.03,0.08
11864,filter,0.12,0.05,0.01,0.10,0.06,0.07,0.12,0.12,0.05
11868,final,0.28,0.24,0.18,0.76,0.31,0.33,0.28,0.09,0.25
11875,fewer,0.10,0.04,0.09,0.05,0.14,0.05,0.16,0.09,0.06
11880,field,0.86,0.84,0.86,0.97,0.72,0.76,0.93,1.00,0.77
11896,firmwar,0.10,0.11,0.27,0.05,0.08,0.05,0.09,0.12,0.10
11897,first,0.80,0.80,0.83,0.91,0.81,0.81,0.86,0.76,0.77
11907,fit,0.08,0.13,0.05,0.03,0.08,0.02,0.21,0.09,0.05
11911,fix,0.17,0.17,0.18,0.05,0.14,0.10,0.49,0.12,0.28
11914,firm,0.05,0.02,0.01,0.10,0.08,0.14,0.21,0.03,0.10
11921,find,0.27,0.19,0.25,0.12,0.17,0.31,0.40,0.21,0.18
11950,faster,0.09,0.07,0.05,0.02,0.03,0.07,0.09,0.06,0.04
11974,famili,0.09,0.05,0.06,0.09,0.03,0.26,0.26,0.12,0.11
11990,fee,0.31,0.23,0.21,0.67,0.61,0.40,0.37,0.12,0.38
11992,feedback,0.09,0.04,0.04,0.05,0.03,0.05,0.14,0.21,0.03
12012,feder,0.10,0.11,0.04,0.02,0.06,0.02,0.12,0.09,0.21
12027,featur,0.65,0.66,0.78,0.34,0.64,0.79,0.51,0.88,0.58
12045,forth,0.30,0.35,0.39,0.14,0.39,0.33,0.47,0.09,0.29
12047,format,0.44,0.37,0.32,0.76,0.19,0.24,0.37,0.53,0.30
12052,forward,0.18,0.39,0.45,0.10,0.19,0.21,0.16,0.65,0.21
12055,found,0.26,0.18,0.16,0.14,0.14,0.14,0.28,0.53,0.16
12080,form,0.79,0.82,0.83,0.93,0.75,0.86,0.84,0.74,0.82
12082,four,0.15,0.31,0.05,0.07,0.17,0.12,0.19,0.24,0.10
12102,frequenc,0.33,0.28,0.40,0.19,0.06,0.12,0.14,0.68,0.28
12105,fraud,0.15,0.69,0.26,0.26,0.31,0.38,0.02,0.06,0.22
12111,fourth,0.12,0.06,0.13,0.09,0.08,0.07,0.09,0.09,0.09
12128,framework,0.06,0.02,0.01,0.03,0.08,0.02,0.05,0.03,0.04
12129,foreign,0.03,0.04,0.05,0.03,0.06,0.05,0.14,0.06,0.09
12145,flow,0.32,0.42,0.32,0.10,0.19,0.36,0.40,0.15,0.34
12146,flowchart,0.09,0.11,0.18,0.64,0.08,0.21,0.07,0.06,0.13
12155,forego,0.21,0.13,0.19,0.67,0.17,0.17,0.30,0.12,0.30
12159,flash,0.13,0.20,0.14,0.05,0.19,0.17,0.14,0.24,0.12
12175,flexibl,0.24,0.14,0.13,0.69,0.06,0.21,0.30,0.59,0.22
12195,forc,0.08,0.07,0.03,0.05,0.17,0.02,0.19,0.09,0.12
12203,follow,0.75,0.67,0.78,0.88,0.72,0.90,0.81,0.94,0.75
